Super Maison Pokemon

# | Pokemon | Nature | Item | Move | Move | Move | Move | EV Spread
0 | Barbaracle1 | Adamant | BrightPowder | Stone Edge | Razor Shell | Shell Smash | Double Team | Atk/Spd
112 | Sylveon3 | Modest | Razor Claw | Moonblast | Shadow Ball | Round | Psyshock | SpA/SpD
113 | Chesnaught3 | Modest | Life Orb | Focus Blast | Energy Ball | Sludge Bomb | Round | Def/SpA
114 | Delphox3 | Timid | Heat Rock | Sunny Day | SolarBeam | Fire Blast | Psychic | Spd/SpA
115 | Greninja3 | Jolly | Kings Rock | Water Shuriken | Rock Slide | Grass Knot | U-turn | Atk/Spd
116 | Gogoat3 | Sassy | Big Root | Horn Leech | Leech Seed | Protect | Payback | HP/Atk
117 | Noivern3 | Modest | Razor Fang | Air Slash | Dragon Pulse | Flamethrower | Psychic | Spd/SpA
118 | Florges3 | Modest | Kebia Berry | Calm Mind | Grass Knot | Psychic | Moonblast | SpA/SpD
119 | Goodra3 | Modest | Damp Rock | Dragon Pulse | Rain Dance | Thunder | Muddy Water | SpA/SpD
120 | Trevenant3 | Adamant | Choice Band | Horn Leech | Shadow Claw | Earthquake | X-Scissor | HP/Atk
121 | Gourgeist3 | Modest | Wise Glasses | Shadow Ball | Sludge Bomb | Energy Ball | Flamethrower | Def/SpA
122 | Clawitzer3 | Jolly | Focus Sash | Crabhammer | Return | U-turn | Flail | Atk/Spd
123 | Slurpuff3 | Adamant | Kee Berry | Endeavor | Play Rough | Facade | Cotton Guard | Atk/SpD
124 | Aromatisse3 | Modest | Expert Belt | Flash Cannon | Thunder | Psyshock | Moonblast | SpA/SpD
156 | Barbaracle4 | Adamant | Razor Claw | Stone Edge | Razor Shell | Cross Chop | Shadow Claw | Atk/Def
157 | Hawlucha4 | Jolly | Power Herb | Sky Attack | Flying Press | U-turn | Stone Edge | Atk/Spd
158 | Carbink4 | Quiet | Scope Lens | Explosion | Psychic | Moonblast | Power Gem | Atk/SpA
159 | Pyroar4 | Modest | White Herb | Overheat | Hyper Voice | Dark Pulse | Round | Spd/SpA
160 | Avalugg4 | Brave | Iron Ball | Stone Edge | Avalanche | Gyro Ball | Earthquake | Atk/Def
161 | Tyrantrum4 | Adamant | Choice Band | Crunch | Dragon Claw | Earthquake | Head Smash | Atk/Spd
162 | Aurorus4 | Modest | Life Orb | Hyper Beam | Flash Cannon | Thunder | Psychic | SpA/SpD
163 | Talonflame4 | Adamant | Sitrus Berry | Brave Bird | Flare Blitz | Quick Attack | Swords Dance | Atk/Spd
164 | Sylveon4 | Modest | Big Root | Draining Kiss | Baby-Doll Eyes | Psyshock | Misty Terrain | SpA/SpD
165 | Chesnaught4 | Adamant | White Herb | Wood Hammer | Hammer Arm | Earthquake | Stone Edge | Atk/Def
166 | Delphox4 | Modest | White Herb | Overheat | Psychic | Shadow Ball | Psyshock | Spd/SpA
167 | Greninja4 | Modest | Wide Lens | Hydro Pump | Dark Pulse | Blizzard | Extrasensory | Spd/SpA
168 | Gogoat4 | Adamant | Choice Band | Earthquake | Leaf Blade | Wild Charge | Brick Break | Atk/Spd
169 | Noivern4 | Modest | Wide Lens | Dragon Pulse | Hurricane | Flamethrower | Focus Blast | Spd/SpA
170 | Florges4 | Modest | Lum Berry | Round | Petal Dance | Psychic | Moonblast | SpA/SpD
171 | Goodra4 | Modest | White Herb | Draco Meteor | Thunder | Blizzard | Fire Blast | SpA/SpD
172 | Trevenant4 | Quiet | Iron Ball | Trick Room | Focus Blast | Energy Ball | Shadow Ball | Def/SpA
173 | Gourgeist4 | Adamant | Life Orb | Trick-or-Treat | Phantom Force | Seed Bomb | Rock Slide | HP/Atk
174 | Clawitzer4 | Modest | Choice Specs | Water Pulse | Dark Pulse | Dragon Pulse | Aura Sphere | Spd/SpA
175 | Slurpuff4 | Modest | Expert Belt | Dazzling Gleam | Energy Ball | Thunderbolt | Flamethrower | Spd/SpA
176 | Aromatisse4 | Sassy | Leftovers | Aromatic Mist | Dazzling Gleam | Heal Pulse | Trick Room | HP/SpD
208 | Venusaur1 | Calm | Big Root | Leech Seed | Toxic | Synthesis | Ingrain | HP/SpD
209 | Charizard1 | Adamant | Salac Berry | Dragon Claw | Fire Punch | Belly Drum | Shadow Claw | HP/Spd/SpD
210 | Blastoise1 | Quiet | Zoom Lens | Aqua Ring | Rock Slide | Aqua Tail | Iron Defense | HP/Def/SpD
211 | Meganium1 | Gentle | Sitrus Berry | Light Screen | Aromatherapy | Swagger | SolarBeam | HP/SpD
212 | Typhlosion1 | Rash | Passho Berry | Flame Burst | Flamethrower | SolarBeam | Sunny Day | Spd/SpA
213 | Feraligatr1 | Careful | Lax Incense | Screech | Aqua Jet | Earthquake | Block | HP/SpD
214 | Sceptile1 | Timid | Focus Sash | Quick Attack | Endeavor | Detect | Leaf Storm | Spd/SpA
215 | Blaziken1 | Naughty | Salac Berry | Hi Jump Kick | Counter | Flamethrower | Will-O-Wisp | HP/Def/Spd
216 | Swampert1 | Sassy | Jaboca Berry | Mirror Coat | Counter | Earthquake | Roar | Def/SpD
217 | Torterra1 | Adamant | Binding Band | Sand Tomb | Seed Bomb | Curse | Synthesis | HP/Atk
218 | Infernape1 | Jolly | Kings Rock | Fake Out | Encore | Fling | Acrobatics | Atk/Spd
219 | Empoleon1 | Lax | Sitrus Berry | Yawn | Swords Dance | Aqua Jet | Metal Claw | HP/Def
220 | Serperior1 | Jolly | Lum Berry | Attract | Leaf Tornado | Dragon Tail | Gastro Acid | Def/Spd/SpD
221 | Emboar1 | Careful | Chesto Berry | Gyro Ball | Curse | Rest | Sleep Talk | HP/SpD
222 | Samurott1 | Mild | Splash Plate | Retaliate | Razor Shell | Assurance | Encore | HP/Atk
223 | Dugtrio1 | Hasty | Focus Sash | Reversal | Attract | Dig | Protect | Atk/Spd
224 | Marowak1 | Careful | Salac Berry | Substitute | Detect | Earthquake | Swords Dance | HP/SpD
225 | Medicham1 | Impish | Black Belt | Fake Out | Hi Jump Kick | Bulk Up | Feint | HP/Spd
226 | Quagsire1 | Impish | Rindo Berry | Rest | Sleep Talk | Toxic | Bulldoze | HP/Def
227 | Granbull1 | Sassy | Leftovers | Charm | Protect | Retaliate | Payback | HP/Def/SpD
228 | Jynx1 | Calm | Enigma Berry | Draining Kiss | Mean Look | Lovely Kiss | Attract | HP/Def
229 | Mr. Mime1 | Timid | Choice Scarf | Trick | Dazzling Gleam | Psychic | Energy Ball | Spd/SpA
230 | Lanturn1 | Naughty | Salac Berry | Thunder Wave | Volt Switch | Waterfall | Agility | Atk/Spd
231 | Breloom1 | Brave | Black Belt | Fake Tears | Helping Hand | Mach Punch | Stun Spore | HP/Atk
232 | Forretress1 | Impish | Occa Berry | Spikes | Struggle Bug | Stealth Rock | Iron Defense | HP/Def
233 | Skarmory1 | Naive | Lax Incense | Spikes | Stealth Rock | Sky Drop | Whirlwind | HP/Spd
234 | Absol1 | Careful | Sitrus Berry | Payback | Mean Look | Hone Claws | Baton Pass | HP/Def/SpD
235 | Whiscash1 | Careful | Chesto Berry | Earthquake | Tickle | Amnesia | Rest | Atk/SpD
236 | Hariyama1 | Brave | Kings Rock | Feint | Fake Out | Smack Down | Vital Throw | Atk/Def/SpD
237 | Vespiquen1 | Sassy | Quick Claw | Defend Order | Toxic | Protect | Heal Order | HP/Def/SpD
238 | Raichu1 | Adamant | Focus Sash | Encore | Thief | Thunder Wave | Discharge | Spd/SpA
239 | Dewgong1 | Mild | Icy Rock | Icy Wind | Toxic | Rest | Hail | HP/Def
240 | Manectric1 | Adamant | Life Orb | Crunch | Odor Sleuth | Quick Attack | Wild Charge | Atk/Spd
241 | Staraptor1 | Hasty | Focus Sash | U-turn | FeatherDance | Quick Attack | Endeavor | Atk/Spd
242 | Gastrodon1 | Gentle | Damp Rock | Rain Dance | Sludge Bomb | Muddy Water | Counter | SpA/SpD
243 | Skuntank1 | Naughty | Shuca Berry | Flamethrower | Night Slash | Incinerate | Memento | Atk/Spd
244 | Sawk1 | Naughty | Black Belt | Low Sweep | Quick Guard | Retaliate | Taunt | Atk/Spd
245 | Throh1 | Impish | Payapa Berry | Protect | Toxic | Circle Throw | Wide Guard | Atk/Def
246 | Unfezant1 | Jolly | Enigma Berry | Aerial Ace | U-turn | Razor Wind | Tailwind | HP/Atk/Def
247 | Vileplume1 | Calm | Persim Berry | Petal Dance | Stun Spore | Teeter Dance | Moonlight | Spd/SpD
248 | Victreebel1 | Quiet | Payapa Berry | Leaf Tornado | Stockpile | Swallow | Gastro Acid | SpA/SpD
249 | Electrode1 | Calm | Shuca Berry | Swagger | Light Screen | Charge Beam | Thunder Wave | HP/SpD
250 | Ludicolo1 | Lax | Leftovers | Leech Seed | Toxic | Giga Drain | Rain Dance | HP/Def/SpA
251 | Shiftry1 | Brave | Iron Ball | Fling | Razor Leaf | Brick Break | Swords Dance | HP/Atk/SpD
252 | Exploud1 | Modest | Chople Berry | Fire Blast | Roar | Uproar | Hyper Voice | Def/SpA
253 | Lopunny1 | Naive | Toxic Orb | Fake Out | Encore | Fling | Dizzy Punch | HP/Spd
254 | Froslass1 | Timid | Colbur Berry | Hail | Ice Beam | Ominous Wind | Thunderbolt | Spd/SpA
255 | Lilligant1 | Timid | Persim Berry | Charm | Sleep Powder | Petal Dance | Healing Wish | Spd/SpA
256 | Darmanitan1 | Naive | Leftovers | Fire Punch | Psychic | Protect | Will-O-Wisp | HP/Spd
257 | Ambipom1 | Naive | Kings Rock | Fake Out | Fling | Thief | U-turn | Atk/Spd
258 | Cofagrigus1 | Sassy | Chesto Berry | Night Shade | Will-O-Wisp | Mean Look | Rest | HP/SpD
259 | Golurk1 | Lonely | Muscle Band | Shadow Punch | Iron Defense | Bulldoze | Heavy Slam | HP/SpD
260 | Durant1 | Naive | Sitrus Berry | Crunch | Dig | Bug Bite | Metal Sound | HP/Atk/Spd
261 | Golem1 | Impish | Hard Stone | Stealth Rock | Curse | Gyro Ball | Smack Down | HP/Atk/Def
262 | Slowbro1 | Bold | Sitrus Berry | Yawn | Psychic | Calm Mind | Water Pulse | HP/Def
263 | Weezing1 | Impish | Payapa Berry | Pain Split | Explosion | Haze | Will-O-Wisp | HP/Def
264 | Kangaskhan1 | Adamant | Sitrus Berry | Dizzy Punch | Fake Out | Chip Away | Roar | Atk/Spd
265 | Tauros1 | Naughty | Liechi Berry | Earthquake | Rock Slide | Endure | Substitute | Atk/Spd
266 | Spiritomb1 | Calm | Sitrus Berry | Sucker Punch | Pain Split | Toxic | Grudge | HP/SpD
267 | Cryogonal1 | Timid | Charti Berry | Icy Wind | Ice Beam | Confuse Ray | Light Screen | Def/Spd
268 | Druddigon1 | Bold | Roseli Berry | Crunch | Scary Face | Glare | Dragon Tail | Atk/Def
269 | Musharna1 | Mild | Zoom Lens | Hypnosis | Dream Eater | Calm Mind | Helping Hand | Def/SpA/SpD
270 | Scrafty1 | Naughty | Liechi Berry | Fake Out | Bulk Up | Focus Punch | Substitute | HP/Atk
271 | Ferrothorn1 | Impish | Leftovers | Iron Head | Thunder Wave | Sandstorm | Ingrain | HP/Def
272 | Alakazam1 | Timid | TwistedSpoon | Energy Ball | Psychic | Telekinesis | Guard Split | Spd/SpA
273 | Slowking1 | Calm | Sitrus Berry | Psyshock | Water Pulse | Trick Room | Heal Pulse | SpA/SpD
274 | Miltank1 | Jolly | Lum Berry | Body Slam | Helping Hand | Milk Drink | Heal Bell | HP/Spd
275 | Altaria1 | Calm | Sitrus Berry | Flamethrower | Cotton Guard | Dragon Pulse | Roost | HP/SpD
276 | Toxicroak1 | Lonely | Payapa Berry | Fake Out | Brick Break | Sucker Punch | Taunt | Atk/Spd
277 | Gothitelle1 | Sassy | Chesto Berry | Fake Tears | Psychic | Rest | Calm Mind | HP/Def/Spd
278 | Reuniclus1 | Bold | Kee Berry | Psychic | Energy Ball | Recover | Wonder Room | HP/Def/SpA
279 | Bisharp1 | Lax | Sitrus Berry | Night Slash | Metal Claw | Taunt | Metal Burst | HP/Def
280 | Abomasnow1 | Impish | Leftovers | Frost Breath | Icy Wind | Leech Seed | Ingrain | HP/Def/SpD
281 | Nidoqueen1 | Relaxed | Payapa Berry | Chip Away | Swagger | Helping Hand | Flatter | HP/Def/SpD
282 | Nidoking1 | Naughty | Kings Rock | Bulldoze | Megahorn | Rock Slide | Hone Claws | HP/Atk
283 | Cradily1 | Bold | Tanga Berry | Round | Gastro Acid | Stockpile | Swallow | Def/SpD
284 | Armaldo1 | Brave | Chesto Berry | X-Scissor | Rock Blast | Rest | Curse | HP/SpD
285 | Rampardos1 | Brave | Passho Berry | Rock Slide | Crunch | Curse | Protect | Atk/Def/SpD
286 | Bastiodon1 | Careful | Enigma Berry | Iron Head | Taunt | Wide Guard | Metal Burst | HP/Atk
287 | Floatzel1 | Naive | Binding Band | Aqua Tail | Protect | Pursuit | Whirlpool | Atk/Spd
288 | Mismagius1 | Naive | Colbur Berry | Taunt | Protect | Imprison | Shadow Ball | HP/Spd
289 | Carracosta1 | Naughty | Sitrus Berry | Aqua Tail | Rock Slide | Shell Smash | Iron Defense | HP/Atk
290 | Escavalier1 | Brave | Liechi Berry | Megahorn | Quick Guard | Swords Dance | Reversal | HP/Atk
291 | Accelgor1 | Hasty | Focus Sash | Encore | Bug Buzz | Giga Drain | Me First | Spd/SpA
292 | Zebstrika1 | Naughty | Shuca Berry | Swagger | Volt Switch | Wild Charge | Pursuit | HP/Atk
293 | Drifblim1 | Bold | Salac Berry | Calm Mind | Stockpile | Ominous Wind | Baton Pass | Def/SpD
294 | Seismitoad1 | Rash | Chesto Berry | Round | Rest | Water Pulse | Sludge Wave | Def/SpA/SpD
295 | Poliwrath1 | Naughty | Sitrus Berry | Ice Beam | Waterfall | Psychic | Work Up | HP/Atk/SpA
296 | Rapidash1 | Naughty | Passho Berry | Bounce | Flame Charge | Low Kick | Charm | Atk/Spd
297 | Muk1 | Brave | Black Sludge | Poison Jab | Stockpile | Swallow | Memento | Atk/Def
298 | Gengar1 | Timid | Focus Sash | Shadow Ball | Dream Eater | Nightmare | Hypnosis | Spd/SpA
299 | Ampharos1 | Mild | Shuca Berry | Power Gem | Thunder Wave | Discharge | Charge Beam | HP/SpA/SpD
300 | Politoed1 | Modest | Cell Battery | Waterfall | Encore | Swagger | Bounce | Spd/SpA
301 | Pinsir1 | Naughty | Persim Berry | Bug Bite | Brick Break | Thrash | Swords Dance | Atk/Spd
302 | Scizor1 | Brave | Occa Berry | Metal Claw | Night Slash | Aerial Ace | Swords Dance | HP/Def
303 | Heracross1 | Brave | Black Belt | Aerial Ace | Pursuit | Swords Dance | Brick Break | HP/Atk/Def
304 | Ursaring1 | Adamant | Chesto Berry | Thrash | Crunch | Rest | Counter | Atk/Def/SpD
305 | Houndoom1 | Adamant | Charcoal | Incinerate | Flame Charge | Will-O-Wisp | Sucker Punch | Atk/Spd
306 | Donphan1 | Brave | Metronome | Earthquake | Scary Face | Rollout | Defense Curl | Atk/Def
307 | Wailord1 | Brave | Chesto Berry | Waterfall | Heavy Slam | Curse | Rest | Atk/Def/SpD
308 | Claydol1 | Calm | Absorb Bulb | Psychic | Ice Beam | Protect | Calm Mind | HP/SpD
309 | Bronzong1 | Impish | Sitrus Berry | Hypnosis | Rain Dance | Gyro Ball | Trick Room | HP/Def/SpD
310 | Drapion1 | Bold | Scope Lens | Night Slash | Taunt | Toxic Spikes | X-Scissor | HP/Def
311 | Luxray1 | Lonely | Magnet | Wild Charge | Crunch | Captivate | Swagger | Atk/SpD
312 | Ninetales1 | Modest | Passho Berry | Will-O-Wisp | Hypnosis | Extrasensory | Heat Wave | Spd/SpA
313 | Machamp1 | Brave | Rawst Berry | DynamicPunch | Payback | Foresight | Wide Guard | HP/Atk
314 | Shuckle1 | Careful | Binding Band | Power Split | Encore | Gastro Acid | Sand Tomb | HP/SpD
315 | Roserade1 | Calm | Big Root | Toxic | Leech Seed | Protect | Giga Drain | HP/Def
316 | Honchkrow1 | Quiet | Kee Berry | Psychic | Dark Pulse | Protect | Nasty Plot | Def/SpA/SpD
317 | Gigalith1 | Naughty | Rawst Berry | Bulldoze | Rock Blast | Gravity | Curse | HP/Atk/Def
318 | Conkeldurr1 | Bold | Black Belt | Rock Slide | Force Palm | SmellingSalt | Bulk Up | HP/Def/SpD
319 | Excadrill1 | Naughty | Soft Sand | Hone Claws | Rock Slide | Drill Run | Iron Defense | Atk/Def
320 | Krookodile1 | Naughty | BlackGlasses | Crunch | Bulldoze | Taunt | Counter | Atk/Def/SpD
321 | Steelix1 | Impish | Chesto Berry | Earthquake | Rest | Curse | Stealth Rock | HP/SpD
322 | Weavile1 | Hasty | Razor Fang | Fake Out | Taunt | Night Slash | Fling | Atk/Spd
323 | Gliscor1 | Naughty | Razor Fang | Acrobatics | Fling | U-turn | Swords Dance | Atk/Spd
324 | Zoroark1 | Naive | Focus Sash | Night Slash | Shadow Claw | Taunt | Counter | Atk/Spd
325 | Mandibuzz1 | Calm | Wacan Berry | Taunt | Flatter | Roost | Toxic | Spd/SpD
326 | Braviary1 | Adamant | Kings Rock | Rock Slide | Air Slash | Tailwind | Sky Drop | Atk/Def/SpD
327 | Tentacruel1 | Hasty | Black Sludge | Ice Beam | Sludge Wave | Hex | Toxic Spikes | Spd/SpA
328 | Aerodactyl1 | Jolly | Choice Scarf | Rock Slide |  |  |  | Atk/Spd
329 | Porygon21 | Modest | Sitrus Berry | Blizzard | Magic Coat | Lock-On | Zap Cannon | HP/SpA
330 | Lickilicky1 | Naive | Kee Berry | Thunderbolt | Ice Beam | Me First | Psych Up | HP/Def/SpA
331 | Yanmega1 | Rash | Cheri Berry | Air Slash | Bug Buzz | Detect | U-turn | SpA/SpD
332 | Gardevoir1 | Timid | Wide Lens | Hypnosis | Dream Eater | Imprison | Dazzling Gleam | HP/Spd
333 | Gallade1 | Hasty | Expert Belt | Shadow Sneak | Brick Break | Psycho Cut | Swords Dance | Atk/Spd
334 | Exeggutor1 | Mild | Petaya Berry | Psyshock | Grass Knot | Light Screen | Synthesis | Spd/SpA/SpD
335 | Starmie1 | Timid | Sitrus Berry | Psychic | Cosmic Power | Recover | Reflect Type | HP/Spd
336 | Flygon1 | Naive | Weakness Policy | Earthquake | Dragon Claw | Endure | Fire Blast | Atk/Spd
337 | Klinklang1 | Impish | Shuca Berry | Gear Grind | Thunder Wave | Screech | Volt Switch | HP/Spd
338 | Chandelure1 | Modest | Spell Tag | Flamethrower | Confuse Ray | Will-O-Wisp | Hex | HP/Spd/SpA
339 | Vaporeon1 | Quiet | Quick Claw | Wish | Surf | Helping Hand | Shadow Ball | Def/SpA
340 | Jolteon1 | Hasty | Magnet | Quick Attack | Thunderbolt | Thunder Wave | Swagger | Spd/SpA
341 | Flareon1 | Naughty | Focus Sash | Dig | Flail | Work Up | Fire Blast | Atk/SpA
342 | Espeon1 | Naive | Focus Sash | Yawn | Dream Eater | Calm Mind | Protect | Spd/SpA
343 | Umbreon1 | Impish | Leftovers | Confuse Ray | Payback | Curse | Moonlight | HP/Def
344 | Leafeon1 | Impish | Scope Lens | X-Scissor | Leaf Blade | Swords Dance | GrassWhistle | HP/Spd
345 | Glaceon1 | Rash | Quick Claw | Ice Shard | Blizzard | Mirror Coat | Helping Hand | HP/SpA
346 | Lucario1 | Modest | Black Belt | Metal Sound | Dark Pulse | Aura Sphere | Heal Pulse | Spd/SpA
347 | Hippowdon1 | Impish | Soft Sand | Earthquake | Crunch | Yawn | Whirlwind | Atk/Def
348 | Probopass1 | Calm | Cheri Berry | Smack Down | Volt Switch | Thunder Wave | Magnet Rise | HP/SpD
349 | Dusknoir1 | Bold | Leftovers | Disable | Will-O-Wisp | Pain Split | Mean Look | HP/Def
350 | Mienshao1 | Naive | Salac Berry | U-turn | Endure | Calm Mind | Baton Pass | HP/Spd
351 | Beartic1 | Brave | Sitrus Berry | Shadow Claw | Stone Edge | Avalanche | Bulk Up | Atk/SpD
352 | Bouffalant1 | Adamant | Silk Scarf | Head Charge | Pursuit | Scary Face | Aerial Ace | HP/Atk
353 | Aggron1 | Impish | Focus Sash | Protect | Roar | Stealth Rock | Metal Burst | HP/SpD
354 | Walrein1 | Calm | Chesto Berry | Frost Breath | Snore | Stockpile | Rest | Def/SpD
355 | Mamoswine1 | Adamant | Passho Berry | Double Hit | Earthquake | Ice Shard | Stealth Rock | Atk/Spd/SpD
356 | Lapras1 | Quiet | Damp Rock | Rain Dance | Thunder | Ice Shard | Confuse Ray | Def/SpA
357 | Crobat1 | Jolly | Charti Berry | Cross Poison | X-Scissor | Hypnosis | U-turn | Atk/Spd
358 | Magnezone1 | Rash | Magnet | Metal Sound | Flash Cannon | Thunderbolt | Magnet Rise | HP/SpA
359 | Rhyperior1 | Brave | Zoom Lens | Payback | Rock Blast | Stone Edge | Protect | HP/Atk/SpD
360 | Tangrowth1 | Bold | Big Root | Leech Seed | Ingrain | Giga Drain | Toxic | HP/Def/SpD
361 | Porygon-z1 | Modest | Wise Glasses | Psychic | Shadow Ball | Thunderbolt | Thunder Wave | Spd/SpA
362 | Vanilluxe1 | Calm | NeverMeltIce | Ice Beam | Frost Breath | Mirror Coat | Icy Wind | HP/SpA/SpD
363 | Eelektross1 | Quiet | Magnet | Discharge | Gastro Acid | Thunderbolt | Thunder Wave | HP/SpA
364 | Gyarados1 | Lonely | Muscle Band | Ice Fang | Aqua Tail | Thunder Wave | Dragon Dance | HP/Atk/Spd
365 | Snorlax1 | Adamant | Sitrus Berry | Return | Wild Charge | Counter | Recycle | Atk/Def
366 | Kingdra1 | Adamant | Persim Berry | Waterfall | Quash | Protect | Outrage | HP/Atk/Spd
367 | Blissey1 | Calm | Leftovers | Attract | Round | Heal Pulse | Aromatherapy | Def/SpD
368 | Milotic1 | Bold | Enigma Berry | Surf | Recover | Mirror Coat | Confuse Ray | HP/Def
369 | Electivire1 | Naughty | Expert Belt | Low Kick | Dig | Rock Slide | Screech | HP/Atk/Spd
370 | Magmortar1 | Adamant | Passho Berry | Flame Charge | Earthquake | Confuse Ray | Barrier | HP/Atk
371 | Haxorus1 | Hasty | Haban Berry | Dual Chop | Earthquake | Roar | Taunt | Atk/Spd
